dataset,tested_group,background_group,tested_n,background_n,mean_abs_r,null_mean_abs_r,null_sd_abs_r,z_strength,n_sig_pairs,null_mean_n_sig,null_sd_n_sig,z_breadth
DLPFC,Layer6,Layer3,692,989,0.08959826039265935,0.07121026511597206,0.002512529060462083,7.318520433744556,132,103.38,9.672414383182723,2.9589303007693917
DLPFC,Layer5,Layer3,673,989,0.0653310786269772,0.07141423707280672,0.0021792861355641145,-2.7913537115508396,91,101.87,9.052795148461053,-1.200734118218357
DLPFC,WM,Layer3,513,989,0.07750336745496353,0.07386772801984867,0.0027336688341592754,1.3299487444692726,79,79.57,10.204170715937675,-0.055859512337407935
DLPFC,Layer1,Layer3,273,989,0.09322745731691695,0.08144757263801101,0.0035415251272855413,3.3262180140476936,68,40.47,8.336012236075472,3.302538338518275
DLPFC,Layer2,Layer3,253,989,0.08859827756826541,0.081867490092296,0.0034853038666012638,1.9311910041869098,46,35.76,7.604104154994196,1.346641207337128
DLPFC,Layer4,Layer3,218,989,0.08852770252170643,0.08557747062124575,0.004058904400014246,0.7268542466098651,38,31.56,7.431446696303486,0.8665876596009883
DLPFC,Layer5,Layer6,673,692,0.0653310786269772,0.09619730228923754,0.003269280517495298,-9.441289448134192,91,152.27,8.683150349959398,-7.05619476003654
DLPFC,WM,Layer6,513,692,0.07750336745496353,0.09841975267843146,0.0037359265608844444,-5.598714235142103,79,134.63,9.396440815542872,-5.920326759039996
DLPFC,Layer1,Layer6,273,692,0.09322745731691695,0.10480005873315011,0.00455206414953027,-2.5422755553401126,68,92.62,9.566378625164278,-2.5735966518442757
DLPFC,Layer2,Layer6,253,692,0.08859827756826541,0.10503719557643047,0.0048004655732933055,-3.424442432458251,46,86.28,9.90361550142169,-4.067201517891484
DLPFC,Layer4,Layer6,218,692,0.08852770252170643,0.10849647669931681,0.005171450165734144,-3.861349047905646,38,79.34,11.069074035347311,-3.734729740535081
DLPFC,WM,Layer5,513,673,0.07750336745496353,0.07586798366777915,0.002864943027320588,0.5708259365084231,79,90.98,9.41273605281695,-1.2727436457132437
DLPFC,Layer1,Layer5,273,673,0.09322745731691695,0.08303035381633475,0.0036535257926726176,2.79103093188561,68,44.86,10.006018189070014,2.3126082286432843
DLPFC,Layer2,Layer5,253,673,0.08859827756826541,0.08469008368338583,0.00397993828476323,0.9819734891015036,46,39.99,9.645200879193755,0.6231078103270932
DLPFC,Layer4,Layer5,218,673,0.08852770252170643,0.08686923412984343,0.005027105721455481,0.3299052145362323,38,32.75,11.23866095226651,0.4671375017270862
DLPFC,Layer1,WM,273,513,0.09322745731691695,0.09221700978279765,0.0035295039080247836,0.28628599377256186,68,64.4,10.23132444994293,0.35186060393380675
DLPFC,Layer2,WM,253,513,0.08859827756826541,0.09278148475884128,0.0041457175955930915,-1.0090429685836744,46,57.85,10.509400553789925,-1.1275619327046678
DLPFC,Layer4,WM,218,513,0.08852770252170643,0.09598072473223394,0.004363010764676519,-1.7082291589009788,38,49.64,9.964456834168132,-1.16815198196105
DLPFC,Layer2,Layer1,253,273,0.08859827756826541,0.10736607750777463,0.0058742246934229145,-3.1949407650898474,46,93.04,14.435317800450393,-3.2586743603614368
DLPFC,Layer4,Layer1,218,273,0.08852770252170643,0.10942931236266547,0.006892043019858142,-3.032716101408859,38,80.18,15.884822945188906,-2.6553648187040424
DLPFC,Layer4,Layer2,218,253,0.08852770252170643,0.10444909994918757,0.004777931515346736,-3.332278282559987,38,67.05,10.937435714096793,-2.656015610912898
